Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SETBP1","SET Binding Protein 1","Protein Coding","Q9Y6X0","54","GC18P044680","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETBP1"
"SGCG","Sarcoglycan Gamma","Protein Coding","Q13326","54","GC13P023160","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCG"
"SIX3","SIX Homeobox 3","Protein Coding","O95343","54","GC02P044941","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIX3"
"SKIC2","SKI2 Subunit Of Superkiller Complex","Protein Coding","Q15477","54","GC06P172784","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKIC2"
"SLC17A7","Solute Carrier Family 17 Member 7","Protein Coding","Q9P2U7","54","GC19M049429","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A7"
"SLC18A1","Solute Carrier Family 18 Member A1","Protein Coding","P54219","54","GC08M020144","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A1"
"SLC22A18","Solute Carrier Family 22 Member 18","Protein Coding","Q96BI1","54","GC11P002899","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A18"
"SLC25A11","Solute Carrier Family 25 Member 11","Protein Coding","Q02978","54","GC17M004937","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A11"
"SLC26A5","Solute Carrier Family 26 Member 5","Protein Coding","P58743","54","GC07M103352","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A5"
"SLC2A5","Solute Carrier Family 2 Member 5","Protein Coding","P22732","54","GC01M019765","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A5"
"SLC4A10","Solute Carrier Family 4 Member 10","Protein Coding","Q6U841","54","GC02P161429","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A10"
"SPTB","Spectrin Beta, Erythrocytic","Protein Coding","P11277","54","GC14M064746","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTB"
"SRP54","Signal Recognition Particle 54","Protein Coding","P61011","54","GC14P034981","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP54"
"ST3GAL1","ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 1","Protein Coding","Q11201","54","GC08M133454","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST3GAL1"
"STAG1","STAG1 Cohesin Complex Component","Protein Coding","Q8WVM7","54","GC03M136336","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAG1"
"STX1B","Syntaxin 1B","Protein Coding","P61266","54","GC16M030989","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX1B"
"SUMF1","Sulfatase Modifying Factor 1","Protein Coding","Q8NBK3","54","GC03M003700","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMF1"
"SUMO2","Small Ubiquitin Like Modifier 2","Protein Coding","P61956","54","GC17M075165","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO2"
"SURF1","SURF1 Cytochrome C Oxidase Assembly Factor","Protein Coding","Q15526","54","GC09M133351","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1"
"TAX1BP1","Tax1 Binding Protein 1","Protein Coding","Q86VP1","54","GC07P027739","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP1"
"TCOF1","Treacle Ribosome Biogenesis Factor 1","Protein Coding","Q13428","54","GC05P155665","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCOF1"
"TIRAP","TIR Domain Containing Adaptor Protein","Protein Coding","P58753","54","GC11P126284","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIRAP"
"TNFRSF6B","TNF Receptor Superfamily Member 6b","Protein Coding","O95407","54","GC20P063696","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF6B"
"TRIM37","Tripartite Motif Containing 37","Protein Coding","O94972","54","GC17M089907","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM37"
"TRIM63","Tripartite Motif Containing 63","Protein Coding","Q969Q1","54","GC01M032187","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM63"
"TRIT1","TRNA Isopentenyltransferase 1","Protein Coding","Q9H3H1","54","GC01M039842","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIT1"
"TRPV5","Transient Receptor Potential Cation Channel Subfamily V Member 5","Protein Coding","Q9NQA5","54","GC07M142908","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV5"
"TSEN2","TRNA Splicing Endonuclease Subunit 2","Protein Coding","Q8NCE0","54","GC03P024247","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSEN2"
"TSHB","Thyroid Stimulating Hormone Subunit Beta","Protein Coding","P01222","54","GC01P115029","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB"
"TTPA","Alpha Tocopherol Transfer Protein","Protein Coding","P49638","54","GC08M063048","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTPA"
"UBE3C","Ubiquitin Protein Ligase E3C","Protein Coding","Q15386","54","GC07P157138","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3C"
"UBR5","Ubiquitin Protein Ligase E3 Component N-Recognin 5","Protein Coding","O95071","54","GC08M102252","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR5"
"UGT1A10","UDP Glucuronosyltransferase Family 1 Member A10","Protein Coding","Q9HAW8","54","GC02P233636","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A10"
"VARS2","Valyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5ST30","54","GC06P156229","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VARS2"
"VPS11","VPS11 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q9H270","54","GC11P119067","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS11"
"XPNPEP3","X-Prolyl Aminopeptidase 3","Protein Coding","Q9NQH7","54","GC22P040857","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPNPEP3"
"ACADL","Acyl-CoA Dehydrogenase Long Chain","Protein Coding","P28330","53","GC02M210187","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADL"
"ATP11A","ATPase Phospholipid Transporting 11A","Protein Coding","P98196","53","GC13P112690","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP11A"
"AUTS2","Activator Of Transcription And Developmental Regulator AUTS2","Protein Coding","Q8WXX7","53","GC07P069598","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS2"
"BCL2A1","BCL2 Related Protein A1","Protein Coding","Q16548","53","GC15M155729","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2A1"
"BCL9","BCL9 Transcription Coactivator","Protein Coding","O00512","53","GC01P147541","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9"
"BPNT2","3'(2'), 5'-Bisphosphate Nucleotidase 2","Protein Coding","Q9NX62","53","GC08M056958","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPNT2"
"CAMKK1","Calcium/Calmodulin Dependent Protein Kinase Kinase 1","Protein Coding","Q8N5S9","53","GC17M003860","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK1"
"CELSR2","Cadherin EGF LAG Seven-Pass G-Type Receptor 2","Protein Coding","Q9HCU4","53","GC01P109538","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2"
"CHST14","Carbohydrate Sulfotransferase 14","Protein Coding","Q8NCH0","53","GC15P040470","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST14"
"CHST6","Carbohydrate Sulfotransferase 6","Protein Coding","Q9GZX3","53","GC16M075472","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST6"
"COL13A1","Collagen Type XIII Alpha 1 Chain","Protein Coding","Q5TAT6","53","GC10P069801","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL13A1"
"CRMP1","Collapsin Response Mediator Protein 1","Protein Coding","Q14194","53","GC04M005757","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRMP1"
"CYB5B","Cytochrome B5 Type B","Protein Coding","O43169","53","GC16P106028","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5B"
"DDX11","DEAD/H-Box Helicase 11","Protein Coding","Q96FC9","53","GC12P031073","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX11"
"DDX17","DEAD-Box Helicase 17","Protein Coding","Q92841","53","GC22M038483","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX17"
"DDX39B","DExD-Box Helicase 39B","Protein Coding","Q13838","53","GC06M031530","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B"
"DHDDS","Dehydrodolichyl Diphosphate Synthase Subunit","Protein Coding","Q86SQ9","53","GC01P026432","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHDDS"
"DOCK3","Dedicator Of Cytokinesis 3","Protein Coding","Q8IZD9","53","GC03P061567","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK3"
"EDC3","Enhancer Of MRNA Decapping 3","Protein Coding","Q96F86","53","GC15M155567","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDC3"
"ELP3","Elongator Acetyltransferase Complex Subunit 3","Protein Coding","Q9H9T3","53","GC08P028089","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELP3"
"FDX1","Ferredoxin 1","Protein Coding","P10109","53","GC11P110429","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX1"
"FGD1","FYVE, RhoGEF And PH Domain Containing 1","Protein Coding","P98174","53","GC0XM054493","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGD1"
"FLT3LG","Fms Related Receptor Tyrosine Kinase 3 Ligand","Protein Coding","P49771","53","GC19P133413","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT3LG"
"FXYD2","FXYD Domain Containing Ion Transport Regulator 2","Protein Coding","P54710","53","GC11M117800","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD2"
"GATB","Glutamyl-TRNA Amidotransferase Subunit B","Protein Coding","O75879","53","GC04M151670","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATB"
"GFI1","Growth Factor Independent 1 Transcriptional Repressor","Protein Coding","Q99684","53","GC01M092474","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFI1"
"GMDS","GDP-Mannose 4,6-Dehydratase","Protein Coding","O60547","53","GC06M001624","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMDS"
"GNA12","G Protein Subunit Alpha 12","Protein Coding","Q03113","53","GC07M003737","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA12"
"GPC5","Glypican 5","Protein Coding","P78333","53","GC13P091398","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC5"
"GPR17","G Protein-Coupled Receptor 17","Protein Coding","Q13304","53","GC02P127645","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR17"
"GUCY1B1","Guanylate Cyclase 1 Soluble Subunit Beta 1","Protein Coding","Q02153","53","GC04P155759","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY1B1"
"HLA-E","Major Histocompatibility Complex, Class I, E","Protein Coding","P13747","53","GC06P156218","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-E"
"IGF2BP1","Insulin Like Growth Factor 2 MRNA Binding Protein 1","Protein Coding","Q9NZI8","53","GC17P134060","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP1"
"IL13RA1","Interleukin 13 Receptor Subunit Alpha 1","Protein Coding","P78552","53","GC0XP118727","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13RA1"
"INHBB","Inhibin Subunit Beta B","Protein Coding","P09529","53","GC02P148716","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","Q9NRR6","53","GC09M136428","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"IQSEC1","IQ Motif And Sec7 Domain ArfGEF 1","Protein Coding","Q6DN90","53","GC03M027391","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQSEC1"
"IYD","Iodotyrosine Deiodinase","Protein Coding","Q6PHW0","53","GC06P150368","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IYD"
"JMJD1C","Jumonji Domain Containing 1C","Protein Coding","Q15652","53","GC10M063167","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD1C"
"KCNH7","Potassium Voltage-Gated Channel Subfamily H Member 7","Protein Coding","Q9NS40","53","GC02M162371","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH7"
"KIF14","Kinesin Family Member 14","Protein Coding","Q15058","53","GC01M200551","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF14"
"KIFAP3","Kinesin Associated Protein 3","Protein Coding","Q92845","53","GC01M169921","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIFAP3"
"KMT5A","Lysine Methyltransferase 5A","Protein Coding","Q9NQR1","53","GC12P136134","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT5A"
"MSH5","MutS Homolog 5","Protein Coding","O43196","53","GC06P156258","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH5"
"MTA3","Metastasis Associated 1 Family Member 3","Protein Coding","Q9BTC8","53","GC02P042494","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTA3"
"MYO1A","Myosin IA","Protein Coding","Q9UBC5","53","GC12M057028","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1A"
"NAB2","NGFI-A Binding Protein 2","Protein Coding","Q15742","53","GC12P065423","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAB2"
"NEDD9","Neural Precursor Cell Expressed, Developmentally Down-Regulated 9","Protein Coding","Q14511","53","GC06M011183","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD9"
"PABPC4","Poly(A) Binding Protein Cytoplasmic 4","Protein Coding","Q13310","53","GC01M039560","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC4"
"PDE1C","Phosphodiesterase 1C","Protein Coding","Q14123","53","GC07M031616","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1C"
"PIAS3","Protein Inhibitor Of Activated STAT 3","Protein Coding","Q9Y6X2","53","GC01M145848","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS3"
"PIM3","Pim-3 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","Q86V86","53","GC22P049960","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM3"
"PPP2R2C","Protein Phosphatase 2 Regulatory Subunit Bgamma","Protein Coding","Q9Y2T4","53","GC04M006322","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R2C"
"PSMC2","Proteasome 26S Subunit, ATPase 2","Protein Coding","P35998","53","GC07P103328","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC2"
"RAB1A","RAB1A, Member RAS Oncogene Family","Protein Coding","P62820","53","GC02M065097","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1A"
"RALGAPA1","Ral GTPase Activating Protein Catalytic Subunit Alpha 1","Protein Coding","Q6GYQ0","53","GC14M035538","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALGAPA1"
"RGS10","Regulator Of G Protein Signaling 10","Protein Coding","O43665","53","GC10M119499","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS10"
"RGS6","Regulator Of G Protein Signaling 6","Protein Coding","P49758","53","GC14P071867","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS6"
"RXFP1","Relaxin Family Peptide Receptor 1","Protein Coding","Q9HBX9","53","GC04P158315","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXFP1"
"SCAP","SREBF Chaperone","Protein Coding","Q12770","53","GC03M047413","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAP"
"SEPTIN9","Septin 9","Protein Coding","Q9UHD8","53","GC17P134677","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN9"
"SHOC2","SHOC2 Leucine Rich Repeat Scaffold Protein","Protein Coding","Q9UQ13","53","GC10P110919","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHOC2"
"SIX6","SIX Homeobox 6","Protein Coding","O95475","53","GC14P060508","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIX6"
"SMARCD1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily D, Member 1","Protein Coding","Q96GM5","53","GC12P050085","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCD1"
"SPRED2","Sprouty Related EVH1 Domain Containing 2","Protein Coding","Q7Z698","53","GC02M065307","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRED2"
"TFF3","Trefoil Factor 3","Protein Coding","Q07654","53","GC21M042311","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF3"
"TLE4","TLE Family Member 4, Transcriptional Corepressor","Protein Coding","Q04727","53","GC09P079571","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE4"
"TMPRSS3","Transmembrane Serine Protease 3","Protein Coding","P57727","53","GC21M042371","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS3"
"TRA2B","Transformer 2 Beta Homolog","Protein Coding","P62995","53","GC03M185914","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA2B"
"TRAF1","TNF Receptor Associated Factor 1","Protein Coding","Q13077","53","GC09M120902","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF1"
"UHRF1","Ubiquitin Like With PHD And Ring Finger Domains 1","Protein Coding","Q96T88","53","GC19P132010","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UHRF1"
"USP13","Ubiquitin Specific Peptidase 13","Protein Coding","Q92995","53","GC03P179654","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP13"
"VPS53","VPS53 Subunit Of GARP Complex","Protein Coding","Q5VIR6","53","GC17M000508","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS53"
"XPO5","Exportin 5","Protein Coding","Q9HAV4","53","GC06M043522","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO5"
"AANAT","Aralkylamine N-Acetyltransferase","Protein Coding","Q16613","52","GC17P076453","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AANAT"
"ABCB10","ATP Binding Cassette Subfamily B Member 10","Protein Coding","Q9NRK6","52","GC01M229516","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB10"
"ADARB2","Adenosine Deaminase RNA Specific B2 (Inactive)","Protein Coding","Q9NS39","52","GC10M001286","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADARB2"
"ADGRL2","Adhesion G Protein-Coupled Receptor L2","Protein Coding","O95490","52","GC01P081306","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRL2"
"AEBP1","AE Binding Protein 1","Protein Coding","Q8IUX7","52","GC07P044429","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AEBP1"
"AGFG1","ArfGAP With FG Repeats 1","Protein Coding","P52594","52","GC02P227473","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGFG1"
"AGK","Acylglycerol Kinase","Protein Coding","Q53H12","52","GC07P141551","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGK"
"AGR2","Anterior Gradient 2, Protein Disulphide Isomerase Family Member","Protein Coding","O95994","52","GC07M017509","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGR2"
"ALG6","ALG6 Alpha-1,3-Glucosyltransferase","Protein Coding","Q9Y672","52","GC01P063367","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG6"
"AMN","Amnion Associated Transmembrane Protein","Protein Coding","Q9BXJ7","52","GC14P102922","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMN"
"ANAPC1","Anaphase Promoting Complex Subunit 1","Protein Coding","Q9H1A4","52","GC02M111611","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC1"
"ANO6","Anoctamin 6","Protein Coding","Q4KMQ2","52","GC12P045215","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO6"
"ATP1B2","ATPase Na+/K+ Transporting Subunit Beta 2","Protein Coding","P14415","52","GC17P132665","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B2"
"ATP8A1","ATPase Phospholipid Transporting 8A1","Protein Coding","Q9Y2Q0","52","GC04M042410","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP8A1"
"BCAM","Basal Cell Adhesion Molecule (Lutheran Blood Group)","Protein Coding","P50895","52","GC19P133235","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAM"
"BRD1","Bromodomain Containing 1","Protein Coding","O95696","52","GC22M049773","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD1"
"BTNL2","Butyrophilin Like 2","Protein Coding","Q9UIR0","52","GC06M032393","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2"
"CACNA2D3","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 3","Protein Coding","Q8IZS8","52","GC03P061710","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D3"
"CBX1","Chromobox 1","Protein Coding","P83916","52","GC17M048070","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX1"
"CBY1","Chibby 1, Beta Catenin Antagonist","Protein Coding","Q9Y3M2","52","GC22P038656","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBY1"
"CD320","CD320 Molecule","Protein Coding","Q9NPF0","52","GC19M008302","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD320"
"CDH12","Cadherin 12","Protein Coding","P55289","52","GC05M021750","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH12"
"CDSN","Corneodesmosin","Protein Coding","Q15517","52","GC06M031115","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDSN"
"CEP41","Centrosomal Protein 41","Protein Coding","Q9BYV8","52","GC07M130393","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP41"
"CERT1","Ceramide Transporter 1","Protein Coding","Q9Y5P4","52","GC05M075356","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERT1"
"CHMP1A","Charged Multivesicular Body Protein 1A","Protein Coding","Q9HD42","52","GC16M089644","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP1A"
"CLDN2","Claudin 2","Protein Coding","P57739","52","GC0XP106900","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN2"
"CLEC10A","C-Type Lectin Domain Containing 10A","Protein Coding","Q8IUN9","52","GC17M007074","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC10A"
"CLIC5","Chloride Intracellular Channel 5","Protein Coding","Q9NZA1","52","GC06M045880","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIC5"
"CNKSR2","Connector Enhancer Of Kinase Suppressor Of Ras 2","Protein Coding","Q8WXI2","52","GC0XP021372","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNKSR2"
"CNNM2","Cyclin And CBS Domain Divalent Metal Cation Transport Mediator 2","Protein Coding","Q9H8M5","52","GC10P102918","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNNM2"
"COPB1","COPI Coat Complex Subunit Beta 1","Protein Coding","P53618","52","GC11M014436","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPB1"
"COPS3","COP9 Signalosome Subunit 3","Protein Coding","Q9UNS2","52","GC17M017246","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS3"
"COQ5","Coenzyme Q5, Methyltransferase","Protein Coding","Q5HYK3","52","GC12M120503","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ5"
"CRTC2","CREB Regulated Transcription Coactivator 2","Protein Coding","Q53ET0","52","GC01M153947","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC2"
"CSNK1G2","Casein Kinase 1 Gamma 2","Protein Coding","P78368","52","GC19P001941","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1G2"
"CSRP1","Cysteine And Glycine Rich Protein 1","Protein Coding","P21291","52","GC01M201498","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRP1"
"CUX2","Cut Like Homeobox 2","Protein Coding","O14529","52","GC12P111034","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUX2"
"DHX16","DEAH-Box Helicase 16","Protein Coding","O60231","52","GC06M030653","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16"
"DLGAP1","DLG Associated Protein 1","Protein Coding","O14490","52","GC18M003496","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP1"
"DMGDH","Dimethylglycine Dehydrogenase","Protein Coding","Q9UI17","52","GC05M078997","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMGDH"
"DMRT1","Doublesex And Mab-3 Related Transcription Factor 1","Protein Coding","Q9Y5R6","52","GC09P000831","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMRT1"
"DOCK4","Dedicator Of Cytokinesis 4","Protein Coding","Q8N1I0","52","GC07M111726","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK4"
"DUSP5","Dual Specificity Phosphatase 5","Protein Coding","Q16690","52","GC10P110497","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP5"
